District,State,Literacy_Rate_pct,Sex_Ratio_Total,Birth_Registration_pct,Electricity_Access_pct,Improved_DrinkingWater_pct,Improved_Sanitation_pct,Clean_Fuel_Cooking_pct,Iodized_Salt_Use_pct,Health_Insurance_Coverage_pct,Women_Literate_pct,Child_Marriage_pct,Teenage_Pregnancy_pct,Hygienic_Menstrual_Protection_pct,Higher_Order_Births_pct,ANC_First_Trimester_pct,ANC_4plus_Visits_pct,Neonatal_Tetanus_Protection_pct,Iron_Folic_100days_pct,Iron_Folic_180days_pct,MCP_Card_Registered_pct,Postnatal_Care_Mother_pct,OOP_Expenditure_Public_Delivery_Rs,Institutional_Births_pct,Institutional_Births_Public_pct,Home_Birth_Skilled_Personnel_pct,Births_Skilled_Personnel_pct,Caesarean_Section_pct,Caesarean_Private_pct,Caesarean_Public_pct,Home_Birth_Facility_Checkup_24hr_pct,Postnatal_Care_Child_pct,Fully_Vaccinated_Card_Recall_pct,Fully_Vaccinated_Card_Only_pct,VitaminA_6to35mo_pct,Vaccinated_Public_Facility_pct,Vaccinated_Private_Facility_pct,ARI_Prevalence_pct,ARI_Fever_Facility_Visit_pct,Breastfed_Within_1hr_pct,Exclusive_Breastfed_6mo_pct,Solid_Food_6to8mo_pct,Adequate_Diet_Breastfed_6to23mo_pct,Adequate_Diet_NonBreastfed_6to23mo_pct,Adequate_Diet_Total_6to23mo_pct,Child_Stunting_pct,Child_Wasting_pct,Child_Severe_Wasting_pct,Child_Underweight_pct,Child_Overweight_pct,Child_Anaemia_6to59mo_pct,Women_NonPregnant_Anaemia_pct,Women_Pregnant_Anaemia_pct,Women_All_Anaemia_pct,Women_15to19_Anaemia_pct,Women_BMI_Below_Normal_pct,Women_HighBloodSugar_Mild_pct,Women_HighBloodSugar_VHigh_pct,Women_Diabetes_or_Medicine_pct,Men_HighBloodSugar_Mild_pct,Men_HighBloodSugar_VHigh_pct,Men_Diabetes_or_Medicine_pct,Women_Hypertension_Mild_pct,Men_Hypertension_Mild_pct,Women_Cervical_Cancer_Screening_pct,Women_Breast_Exam_pct,Women_Oral_Exam_pct
Shimla,Himachal Pradesh,83.64,949,65.42,73.92,70.4,49.54,77.96,80.16,91.49,66.85,58.96,50,77.03,55,44.96,44.24,82.83,63.5,42.96,68.61,44.93,3523,72.79,35.56,31.62,60.99,17.4,11.16,1,16.88,41.82,78.34,63.81,58.54,55.57,46.69,3.01,10.86,66.63,88.52,66.51,35.77,33.45,39.13,62.87,16.45,5.06,60,1.34,67.83,68.73,39.25,52.12,62.58,45.4,11.6,3.09,7.04,4.31,5.7,0,5.52,0,19.03,22.59,10.61
Tapi,Gujarat,68.26,972,70.73,56.14,79.79,38.14,25.66,94.14,34.42,67.47,49.17,50,59.69,55,38.04,54.94,55.93,37.23,12.79,54.69,32.34,2041,48.3,14.5,15.39,59.2,23.42,10.21,1.87,50.63,46.97,46.53,31.45,44.51,56.3,47.02,10.91,53.23,59.92,21.21,58.34,29.72,41.35,32.79,66.32,14.23,12.33,60,6.12,74.89,37.22,67.68,49.87,48.32,49.79,1.92,5.13,7.55,13.82,12.8,9.84,1.58,19.43,4.35,13.61,8.2
Dhamtari,Chhattisgarh,78.36,959,50.38,77.86,68.71,65.65,66.37,82.32,64.15,82.94,69.14,50,52.85,55,28.92,62.52,70.86,38.23,36.81,55.37,42.02,2387,51.02,25.13,18.35,67.77,2,1,1,47.43,53.26,35.39,33.79,56.07,37.67,57.2,1,38.6,48.84,55.98,85.39,24.3,20.56,12.75,69.71,4.08,3.79,50.99,2.1,74.2,60.87,42.13,52.15,49.71,48.93,8.68,0.96,5.32,9.17,6.79,11.53,4.96,12.51,13.12,7.27,6.09
Jamtara,Jharkhand,64.59,1005,60.37,69.72,56.76,54.64,39.5,72.02,42.88,50.68,51.6,50,41.17,55,34.73,22,54.19,38.3,33.2,42.61,14.63,1928,69.96,45.92,6.87,54.79,20.05,14.3,9.01,29.51,31.5,47.78,39.02,47.48,75.06,26.01,5.13,33.44,37.18,58.53,76.46,25.49,38.8,15.29,70,16.86,3.64,60,2.11,88.01,50.72,60.24,51.92,54.31,55,11.35,0,5.73,5.86,3.54,8.75,12.78,16,5.49,16.55,13.1
Datia,Madhya Pradesh,72.63,955,53.41,61.98,65.43,55.71,46.06,66.59,69.67,65.67,58.55,42.8,61.14,55,58.77,55.65,46.87,40.3,8.9,33.11,52.16,1469,51.96,38.67,2,53.06,4.23,1,1,67.58,51.97,31.18,30.09,40.23,54.28,42.64,2.63,41.52,42.56,23.55,75.81,26.03,27.14,27.05,60.68,23.1,5.78,56,0,80.65,64.04,44.19,56.59,61,52.77,4.6,2.8,8.92,5.87,10.69,18.92,9.78,22.13,17.64,25.52,11.94
Nalbari,Assam,78.63,933,81.17,66.48,66,65.76,16.79,73.9,44.85,63.69,52.72,50,74.87,55,38.22,57,58.11,36.48,15.47,67.96,45.7,1342,71.06,58.6,19.62,59.5,8.37,8.8,4.65,6.94,52.99,45.59,23.24,52.91,19.16,80,8.57,35.78,54.53,78.83,70.55,24.31,20.96,19.28,69.21,20.13,3.01,60,0,65.27,66.99,58.8,61.7,64.65,54.33,11.58,4.12,9.32,6.49,0.11,11.52,14.96,15.21,15.87,19.32,3.73
Mansa,Punjab,61.83,955,71.3,59.09,47.06,34.49,29.54,65.92,37.24,51.55,61.16,50,52.82,55,19.16,55.74,65.32,29.27,21.38,38.81,33.83,2959,64.64,49.09,8.53,54.48,25.33,20.02,2.41,33.57,25.82,41.96,24.99,59.37,74.51,27.62,1,54.67,31.33,41.67,62.16,16.87,44.18,2,69.36,20.37,7.86,60,5.22,74.61,69.65,25.36,47.37,44.28,54.67,3.1,5.67,15.63,0,3.55,6.19,10.21,25.67,3.79,11,9.23
Burhanpur,Madhya Pradesh,64.36,972,45.6,55.42,65.07,48.54,21.42,78.57,71.12,46.97,70,50,66.77,55,33.58,43.24,41.6,32.78,9.11,60.6,35.39,2388,55.89,21.16,31.13,47.14,16.01,10.43,1,26.2,39.18,52.19,51.05,54.68,50.55,46.17,10.19,37.93,39.42,56.77,54.27,10.56,45.93,18.06,51.84,16.29,2.02,56.86,2.48,71.36,63.98,70.35,67.46,74.37,55,6.28,5.19,14.12,7.17,3.33,14.77,18.08,1.72,6.37,14.88,16.3
Ariyalur,Tamil Nadu,71.34,952,53.01,63.23,63.63,48.69,50.22,71.23,35.17,57.2,50.14,50,40.71,55,30.66,42.27,40.98,26.63,14.93,51.9,42.97,3862,55.84,27.44,16.63,61.91,24.98,7.11,17.76,52.29,47.68,66.53,63.44,52.69,60.11,45.09,10.62,29.59,59.08,60.9,72.8,26.71,31.8,23.66,53.1,18.52,3.91,60,4.98,67.47,58.76,32.14,44.05,45.7,39.53,0,4.42,1.57,5.05,4.99,12.99,2.07,11.09,12.91,18.27,11.8
Badgam,Jammu and Kashmir,56.08,952,55.66,55.65,51.63,47.72,44.71,60.07,16.75,46.97,52.86,50,31.06,55,14.78,47.39,30.11,41.18,28.12,59.51,41.49,3075,36.26,19.76,23.7,45.7,15.79,18.84,10.46,41.36,23.52,54.17,51.95,62.52,74.18,28.36,1.47,24.26,46.9,28.82,71.35,19.01,36.31,22.2,70,10.14,7.26,60,1.49,51.97,59.26,28.21,47.53,52.12,42.56,0,7.51,7.53,9.53,6.04,2.23,0,2.18,0,11.78,14.83
Anuppur,Madhya Pradesh,67.88,922,52.04,47.73,49.37,46.36,5,93.06,34.66,48.07,59.47,50,35.63,46.76,39,49.11,46.95,38.31,21.51,53.58,40.1,1542,46.18,24.71,36.41,58.83,29.06,17.83,13.25,5,57.67,38.18,46.38,68.63,55.44,37.62,8.76,31.79,22.02,35.7,73.51,31.3,48.54,35.65,70,18.96,10.26,43.14,0.06,67.43,60.5,69.49,60.18,69.4,55,0,1.38,3.47,3.41,6.31,17.69,16.77,14.89,6.72,20.15,7.94
Kanker,Chhattisgarh,70.29,923,57.26,72.49,73.72,45.35,36.84,72.03,57.38,54.13,53.83,50,53.62,55,30.14,69.11,40.65,36.44,26.17,34.88,25.83,2956,62.76,35.07,2.18,52.12,15.61,23.69,2.82,57.31,28.64,49.2,41.52,35.12,55.29,36.35,10.06,25.2,33.3,83.13,41.53,25.86,24.46,2,69.73,15.07,10.5,60,2.48,34.02,45.64,49.95,51.65,48.38,55,11.67,1.98,0,9.73,6.25,11.51,6.02,13.46,8.53,8.4,14.41
Bongaigaon,Assam,69.74,894,57.56,63.27,66.98,54.23,53.67,62.78,72.84,53.81,70,50,50.57,55,30.86,53.35,67.07,26.55,10.38,42.67,48.75,1925,70.89,58.25,11.3,60.54,2,4.56,1,43.74,40.09,54.27,44.76,52.95,95,5,11.76,54.56,67.97,53.82,70.09,25.18,34.88,17.73,70,10,1,42.83,1.85,81.08,49.44,45.1,46.23,41.67,55,2.9,10.33,9.44,9.17,6.89,15.93,10.69,6.45,18.98,11.93,15.72
The Nilgiris,Tamil Nadu,85.2,1020,49.7,73.8,64.85,68.4,43.32,75.98,47.22,74.03,55.65,50,58.12,52.37,48.7,52.96,62.54,33.68,5,57.95,57.1,3295,69.26,29.44,22.17,65.37,20.25,12.11,7.08,16.36,31.86,58.71,36.73,18.53,23.23,80,2.12,42.27,65.14,10,60.37,36.81,24.59,36.55,70,25.04,7.01,60,1.33,70.26,61.04,75.08,70.82,76.62,55,2.91,0,11.89,7.64,4.82,13.05,10.67,26.04,12.45,19.34,12.49
Kandhamal,Orissa,64.13,900,52.96,57.09,66.7,38.21,44.41,78.82,71.36,40.98,57.43,50,52.98,52.48,16.87,24.39,56.4,60.3,44.04,36.15,40.94,1762,50.06,21.82,23.75,55.8,2,3.54,5.96,28.71,36.51,47.04,30.64,54.76,38.85,56.07,1.56,17.89,38.03,49.57,51.82,8.14,15.74,18.99,70,6.4,1,60,1.39,62.61,64.76,61.7,63.83,58.88,55,7.63,7.36,9.36,12.01,8.87,9.32,11.63,10.84,14.84,16.32,7.97
Alirajpur,Madhya Pradesh,36.1,922,25.18,32.23,33.49,24.66,21.93,57.04,17.84,25.27,67.78,50,37.59,55,10,14.69,25.48,15.52,17.12,21.5,34.56,1253,36.26,33.09,33.24,41.4,3.47,1,2.83,11.6,10,15,10,61.01,42.34,67.04,14.01,25.02,16.36,54.41,75.93,46.23,24.47,12.46,70,23.19,14.2,60,2.73,58.69,45.24,42.81,46.58,47.31,55,3.03,5.69,11.18,0,0.16,13.12,7.63,0,4.13,4.48,9.81
Latehar,Jharkhand,59.51,921,44.7,41.44,45.86,31.07,35.83,81.98,36.13,60.88,45.49,50,26.4,55,40.78,18.47,32.28,42.08,45.28,27.99,36.07,1484,45.1,19.88,30.41,52.67,9.17,11.09,5.31,31.92,29.2,33.9,22.85,69.4,94.2,5,4.71,47.26,29.28,58.95,67.66,2,14.25,18.83,69.23,23.7,9.67,60,2.02,74.82,38.85,47.85,42.99,42.85,46.35,10.82,4,7.33,8.78,0,10.5,5.24,17.08,14.43,9.64,11.09
Kodarma,Jharkhand,66.84,986,69.57,70.62,50.85,21.81,31.03,65.43,39.23,61.13,49.64,50,40.82,52.84,13.59,37.52,35.35,40.37,6.56,46.85,53.44,1530,59.01,35.6,21.16,59.39,7.92,17.98,2.1,37.7,17.72,46.93,18.73,61.08,50.4,43.73,5.89,45.8,50.17,19.02,95,42.41,35.96,32.35,70,14.78,11.38,60,1.14,92.56,29.87,67.18,49.24,53.14,55,13.45,6.69,3.86,6.82,7.22,12.45,4.84,17.17,4.27,10.04,13.84
Dindori,Madhya Pradesh,63.9,938,40.36,57.8,38.82,46.73,15.09,98.53,42.71,60.11,62.81,50,52.93,52.65,23.42,49.45,37.46,10,12.01,47.1,55.23,1444,54.65,38.33,23.64,60.85,12.55,1,7.56,28.98,44.74,15,19.9,68.96,66.32,38.08,10.53,22.72,63.52,54.47,72.27,27.41,19.19,23.96,57.9,27.24,12.78,60,6.61,70.63,36.08,34.58,38.62,37.89,46.14,0,6.16,7.16,6.7,4.01,14.01,13.02,10.12,7.89,9.06,11.24
Arwal,Bihar,67.43,1000,63.7,63.79,63.54,53.29,18.64,84.29,46.68,52.51,70,50,42.52,55,15.49,40.41,52.3,60.22,20.38,37.16,47.45,1685,54.04,33.61,23.97,46.09,7.58,3.49,3.86,26.89,41.36,59.77,47.93,59.3,53.47,51.16,3.32,20.01,64.48,40.01,60.54,18.71,10.44,18.3,70,14.61,5.51,60,3.92,93.53,46.91,73.1,60.29,65.27,55,8.08,0,15.84,3.07,10.15,11.73,13.86,17.73,11.59,16.08,9.8
North Tripura,Tripura,87.5,923,67.84,85.41,53.56,63.87,58.14,73.2,58.82,71.94,58.72,50,53.27,55,42.29,64.76,67.07,56.96,48.23,80.65,43.52,2971,74.25,42.37,2.36,88.13,3.94,2.03,1.56,5.97,61.17,46.65,18.78,44.49,72.86,29.92,6.94,58.88,38.62,58.98,63.38,7.34,40.4,32.78,56.38,14.11,7.37,55.89,3.32,76.77,48.3,42.91,49.6,47.81,41.12,0,1.08,10.87,1.32,8.13,13.33,8.75,7.3,16.64,17.31,12.77
Sheopur,Madhya Pradesh,57.43,961,45.27,44.54,40.05,20.71,29.75,69.06,36.1,51.83,67.83,50,50.39,55,36.72,38.51,48.36,24.5,18.6,40.84,32.89,3816,62.92,42.11,18.12,40.37,33.42,26.1,8.72,41.07,27.41,54.83,39.6,35.68,61.77,41.61,11.57,10,37.89,64.11,47.42,17.81,39.49,31.5,64.63,9.4,1,45.43,2.87,52.92,50.76,36.06,44.47,41.73,55,0.56,2.56,1.4,10.57,6.77,9.14,7.02,10.5,11.96,17.97,7.2
Pauri Garhwal,Uttarakhand,82.02,917,74.42,77.13,47.56,53.91,42.13,76.74,47.78,77.2,47.56,46.43,44.52,55,46.46,44.37,43.43,45.67,19.79,49.25,64.08,1003,74.55,33.86,22.98,76.75,11.22,17.82,3.47,5,58.72,67.3,66.22,52.74,66.56,29.43,2.32,43.9,43.34,62.2,83.46,23.04,25.38,11.84,47.39,18.93,1.41,60,4.33,72.32,36.92,67.39,49.96,52.54,55,7.91,0,9.65,10.15,3.54,8.14,12.84,15.36,15.73,10.94,13.9
Dhemaji,Assam,72.7,1036,62.93,63.56,61.39,28.71,32.26,85.35,44.1,41.18,59.07,50,47.87,55,68.69,44.67,52.25,27.56,22.78,34.59,25.65,3337,70.54,34.83,25.5,67.77,2,3.21,1,35.56,40.46,48.46,35.34,42.67,85.17,19,6,28.71,49.08,80.27,69.72,27.34,39.84,28.14,70,11.33,5.31,60,4.06,70.85,27.81,61.75,43.72,46.33,51.63,2.23,3.97,15.37,14.19,7.03,14.87,2.59,18.55,15.62,13.75,10.2
Rupnagar,Punjab,82.19,902,72.35,79.9,66.92,71.23,39.74,77.69,26.48,54.34,45.5,50,60.82,55,58.25,54.98,48.16,68.01,36.38,58.13,44.61,1770,62.51,38.67,8.91,62.64,14.39,20.06,4.88,5,46.56,72.21,46.17,55.61,69.92,31.28,3.49,55.28,38.67,90,69.98,42.35,18.71,11.41,52.05,12.67,5.11,60,0.93,52.91,56.9,21.57,41.9,45.18,48.36,7.04,5.91,12.81,14.85,3.81,18.25,19.75,11.65,14.74,20.12,13.34
Jaisalmer,Rajasthan,57.22,962,57.6,36.61,48.93,29.19,45.04,75.39,42.73,54.11,70,50,34.32,55,20.3,36,46.21,22.72,16.04,37.45,30.22,2513,57.4,15.01,4.77,56.71,6.75,5.24,2.72,35.91,56.84,55.39,27.26,48.16,48.77,49.4,4.9,16.38,35.29,34.6,49.04,25.88,24.79,41.04,70,18.48,13.19,60,0,58.88,56.9,48.29,48.88,57.24,39.28,6.12,7.5,15.43,0.81,5.18,8.41,12.26,10.11,11.17,13.17,5.41
Hailakandi,Assam,74.33,975,57.43,66.2,52.89,64.59,34.57,78.7,42.13,55.97,53.51,50,59.86,47.79,26.52,46.41,58.11,35.89,23.18,59.86,34.22,711,68.29,48.89,17.19,67.16,9.15,8.2,1,34.89,35.07,52.17,25.08,66.38,67.62,32.85,12.74,26.66,39.78,48.12,76.69,28.84,35.7,41.77,55.04,18.81,3.39,60,0,58.59,64.32,32.32,50.7,58.36,43.51,0,4.23,1.56,6.38,4.02,12.58,9.2,12.75,8.31,9.37,7.74
Korea,Chhattisgarh,70.64,967,51.86,59.36,49.19,58.91,17.27,70.75,41.7,49.67,56.75,50,43.76,55,71.33,33.16,39.19,31.57,32.9,48.01,52.86,2672,48.05,28.85,43.61,75.16,25.1,17.96,7.86,42.26,53.58,48.79,40.88,58.98,95,10.3,13.62,42.07,52.02,68.38,50.97,29.2,44.47,23.55,70,29.05,12.74,60,6.58,66.5,67.23,62.77,63.9,68.9,55,8.63,1.75,9.63,8,5.78,3.95,14.15,0.72,4.62,19.89,12.93
Sheohar,Bihar,53.78,943,34.48,51.43,54.6,28.64,38.42,73.88,45.64,30.68,45.57,50,51.73,55,42.33,27.07,49.64,32.85,34.23,25.71,36.79,395,50.03,28.74,10.17,47.26,13.52,14.89,1,50.52,35.34,57.75,39.84,66.95,72.17,29.79,9.03,37.13,34.05,52.72,56.69,21.07,24.65,39.78,70,26.45,12.67,60,2.11,60.8,60.89,77.51,65.33,71.83,55,7.2,4.67,7.26,10.85,4.25,20.02,13.15,11.32,4.09,11.24,9.62
Umaria,Madhya Pradesh,65.89,945,46.16,62.59,52.32,34.8,31.46,52.97,46.51,46.57,58.51,50,44.87,52.5,43.31,66.64,71.22,54.39,27.86,62.83,31,2483,51.9,15.5,34.09,55.14,6.47,2.09,4.26,53.86,29.38,54.02,37.71,66.85,64.73,24.48,10.13,48.99,40.94,10,66.88,22.69,21.66,17.93,56.28,23.41,10.39,59.45,4.18,69.03,56.72,58.6,58.28,62.24,49.81,6.16,3.76,11.97,12.71,8,16.73,11.18,1.12,3.43,22.76,8.16
West Garo Hills,Meghalaya,67.58,952,85.18,55.87,62.09,50.81,36.02,89.68,36.35,41.22,67.82,50,54.02,55,38.07,55.29,57.28,60.26,44.62,51.66,47.81,2432,45.08,14.5,39.02,53.32,22.46,18.69,10.41,6.02,21.38,64.71,45.09,54.41,37.33,67.13,10.02,39.06,50.52,51.53,56.29,23.72,43.76,25.32,62.78,17.83,10.43,48.6,3.4,71.46,68.14,37.85,50.89,58.15,55,3.41,6.36,4.75,2.88,6.36,8.08,0.55,7.95,13.29,12.86,15.64
Rajouri,Jammu and Kashmir,68.17,944,68.57,56.37,50.46,39.28,60.02,81.59,70.45,69.67,48.42,50,55.18,55,40.78,23.22,47.68,34.3,23.42,45.18,39,2372,58.98,29.25,20.55,44,29.5,13.02,8.62,33.95,25.1,23.83,16.75,55.63,75.04,29.03,5.31,37.83,62.1,77.21,53.12,32.52,38.58,19.98,70,15.77,4.41,60,4.83,84.02,76.36,64.24,68.59,73.48,55,7.56,3.86,4.67,4.84,3.47,9.24,12.05,4.47,16.97,19.42,6.94
South Goa,Goa,87.59,989,57.18,78.06,73.74,62.34,47.25,68.72,21.61,69.27,39.94,50,55.04,52.77,30.39,24.15,58.77,53.33,20.7,62.96,41.87,1539,78.76,49.78,11.84,71.91,23.37,13.77,10.38,71.2,61.74,64.36,38.45,68.03,77.7,20.4,8.95,54.38,75.57,29.89,64.25,14.04,32.08,26.7,48.39,18.79,10.01,50.55,2.87,73.24,44.85,49.19,45.14,45.19,53.88,0.82,6.67,8.98,12.48,3.66,17.05,17.28,16.17,11.03,15.73,14.89
Sheikhpura,Bihar,63.86,1038,39.67,51.2,69.54,39.87,37.65,99,30.58,48.82,69.61,50,24.17,55,37.01,39.23,44.42,37.91,17.18,49.44,29.76,2695,55.49,13.91,26.15,52.07,2,1,3.06,37.14,55.94,31.19,25.92,95,67.63,32.95,2.82,15.37,48.3,58.97,80.15,18.92,46.54,27.79,65.18,14.55,7.5,50.19,0.34,54.47,66.55,48.82,58.03,57.92,55,1.97,3.22,4.39,0.31,1.19,11.88,7.22,8.61,16.54,11.59,11.41
Almora,Uttarakhand,80.47,928,70.17,78.32,73.17,38.52,25.6,79.04,95,68.1,36.95,48.7,59.94,55,45.11,59,49.7,33.46,38.77,42.04,53.51,2552,67.53,43.45,22.34,70.5,6.85,4.89,1.48,20.04,45.36,58.95,32.83,38.22,64.05,36.51,4.17,28.24,50.33,20.67,78.43,29.28,57.26,26.97,69.26,13.39,8.85,57.51,0.93,95,45.64,42.24,42.77,49.51,45.71,7.28,7.87,10.3,2.69,0,14.16,14.79,20.43,16.74,18.56,12.28
Tehri Garhwal,Uttarakhand,76.36,895,67.74,66.14,60.51,31.15,37.52,65.57,24.24,67.6,64.76,50,54.17,55,31.15,39.58,57.16,72.25,46.21,55.03,57.08,2011,62.26,31.36,9.69,53.52,18.47,10.43,12.6,33.57,43.72,65.56,43.12,58.84,95,5,7.65,21.63,62.52,70.66,75.61,12.08,35.12,25.92,64.56,18.37,5.81,59.13,2.3,54.57,58.29,51.67,56.15,58.23,55,10.12,4.53,0,8.75,7.8,6.07,14.25,1.92,10.98,6.76,16.52
Faridkot,Punjab,69.55,946,62.65,42.25,62.78,50.95,45.87,88.28,17.92,61.68,52.95,50,54.24,55,31.79,53.99,38.82,56.13,41.68,44.18,35.89,2805,78.85,41.58,12.09,57.21,15.56,15.77,2.55,28.09,47.57,74.12,63.68,34.09,77.4,20.59,3.76,10,57.97,59.35,72.29,26.36,21.74,28.53,55.47,11.97,1.23,60,0,59.19,71.04,48.86,62.99,73.81,50.12,4.09,2.21,14.88,15.22,3.93,13.88,11.47,11.54,10.77,3.81,16.94
Kathua,Jammu and Kashmir,73.09,1053,57.27,63.16,60.1,45.55,15.52,82.78,59.69,65.72,52.26,50,48.9,55,58.38,44.57,33.61,43.81,24.59,56.24,50.39,2114,52.67,31,25.44,66.74,14.73,5.18,11.04,13.82,41.08,43.94,35.96,57.58,84.32,13.87,2.91,45.8,56.71,44.77,57.87,18.45,36.96,42.06,65.24,12.46,3.1,60,1.29,73.96,50.89,12,33.07,30.31,47.47,7.83,3,0,0.29,1.35,10.26,10.85,13.51,18.73,11.23,6.36
Malkangiri,Orissa,48.54,918,40.15,36.42,46.63,28.45,27.14,82.73,5,31.21,59.64,50,29.67,55,25.19,27.17,38.75,48.25,24.63,26.58,48.11,2676,48.24,28.69,31.2,46.66,8.17,1,1.96,50.64,39.89,35.39,32.03,44.52,63.2,36.01,5.15,42.54,21.05,47.48,81.81,31.06,18.52,2.87,70,26.64,7.47,59.99,0.6,95,40.72,50.41,50.98,58.53,55,6.82,6.18,13.52,7.24,6.33,12.49,12.8,15.94,0,3.21,0
Shahid Bhagat Singh Nagar,Punjab,79.78,1016,68.11,60.38,63.6,62.8,44.38,72.89,40.29,60.43,55.91,50,75.93,55,68.73,56.94,57.07,59.44,35.88,49.8,32.76,2087,67.94,31.67,16.13,52.93,3.94,1,1,45.52,47.38,57.73,60.5,55.6,59.63,37.74,12.59,45.18,62.98,28.02,38.96,41.49,47.39,50.05,60.53,7.96,1.49,60,2.34,71.02,48.11,47.8,54.11,55.11,46.98,7.66,0.19,6.1,9.22,2.84,9.01,12.08,25.92,19.92,4.68,10.01
Nuapada,Orissa,57.35,1017,48.87,42.95,50.63,51.88,30.03,83.41,87.92,49.9,70,50,25.42,55,10.65,28.03,36.57,34.66,18.67,56.77,38.68,2395,41.91,28.05,19.17,54.4,38.08,29.72,11.92,10.98,33.17,34.85,25.66,61.11,73.38,29.93,14.23,33.65,44.39,73.14,71.51,18.46,20.18,22.79,70,10.68,3.27,60,2.01,55.38,40.7,55.55,47.25,51.24,55,3.23,3.61,1.75,12.88,4.79,9.95,19.45,1.2,14.8,15.18,4.67
Subarnapur,Orissa,74.42,928,38.62,67.74,65.49,49.37,55.21,74.86,14.1,54.04,63.16,50,59.43,55,34.67,41.21,40.55,46.12,15.73,64.4,54.62,2717,62.87,16.02,28.02,61.28,18.27,7.03,2,33.32,32.54,67.67,50.92,48.21,59.61,36.34,7.87,37.28,39.55,40.61,77.62,34.09,27.3,26.07,64.71,29.19,8.94,60,3.24,40.41,38.89,17.89,24.93,20.97,55,5.4,7.21,9.85,8.79,1.12,11.52,14.83,8.45,10.45,10.93,9.41
Fatehgarh Sahib,Punjab,79.35,973,62.21,80.72,56.64,52.14,47.63,84.67,5.36,62.41,43.75,42.64,49.8,55,25.08,55.65,59.47,62.82,29.67,22.59,46.47,1842,56.3,27.36,17.93,65.97,24.42,17.86,11.69,24.8,32.3,57.8,41.24,22.32,61.09,43.46,10.33,38.99,43.99,64.01,63.65,27.41,18.27,42.95,59.58,15.86,6.37,54.18,4.71,39.41,73.1,58.19,64.78,60.67,44.91,5.85,5.55,13.43,0,6.95,8.07,13.54,24.98,13.82,14.15,19.18
Simdega,Jharkhand,67.99,1015,47.48,63.38,49.03,52.59,57.97,55.14,15.02,55.98,70,50,44.24,55,22.88,40.42,39.29,27.64,22.25,59.16,55.65,1090,53.03,30.4,16.41,38.88,18.06,10.27,1,6.17,10,53.86,36.85,86.51,70.34,32.74,5.75,53.9,51.42,37.69,54.17,20.39,32.55,34.28,64.87,30.01,8.47,60,2.51,65.16,62.99,50.46,57.08,65.85,54.31,11.99,0.55,14.79,1.86,5.26,22.34,15.29,7.47,20.37,14.29,20.98
Barnala,Punjab,67.82,935,57.62,56.79,45.2,33.9,20.79,72.79,62.97,58.93,56.14,50,44.3,55,27.36,63.6,47.69,58.99,32.35,46.74,67.08,2448,57.27,28.74,10.94,69.6,18.46,16.12,12.02,9.53,52.11,59.74,36.72,74.79,52.77,54.03,1,52.07,20.4,90,64.44,25.08,33.04,33.42,70,9.66,3.64,48.85,0,73.17,44.21,57.92,57.74,58.87,51.38,1.58,4.93,14.63,12.49,6.5,5.73,13.54,15.65,5.66,16.09,6.38
Narmada,Gujarat,72.31,942,89.09,68.27,46,52.85,40.42,98.67,67.5,42.24,70,50,42.58,55,43.55,51.71,69.65,38.45,23.28,43.54,47.51,3270,49.05,12.36,10.73,62.88,17.38,10.14,2.34,12.21,38.01,53.91,41.11,55.39,65.97,42.7,4.43,28.35,46.28,83.07,53.64,40.58,40.4,41.95,58.08,19.59,6.35,55.11,0,43.7,40.23,23.93,30.96,36.45,52.06,0.38,0,4.71,8.76,3.72,13.5,0,7.36,12.11,15.88,11.74
Porbandar,Gujarat,75.78,927,65.51,64.99,52.08,58.56,41.74,68.8,34.75,65.13,62.6,49.62,58.76,51.08,44.88,53.01,60.77,61.19,38.59,42.97,42.66,2469,68.46,43.72,52.03,52.16,6.8,18.24,5.73,33.95,36.87,46.87,37.99,40.11,63.44,45.26,6.77,50.13,42.55,90,72.71,22.94,31.67,25.02,44.77,25.17,9.7,49.24,3.32,68.33,41.27,30.24,36.59,35.79,53.79,18,4.56,10.02,2.5,5.74,12.51,9.42,4.64,16.88,16.17,12.17
Central Delhi,Delhi,85.14,909,65.72,71.76,71.94,66.4,30.05,70.75,58.66,65.5,19.48,50,73.5,52.65,38.68,50.49,46.65,47.51,31.01,50.11,62.81,2486,64.66,25.58,17.65,75.37,2.86,11.35,1.1,26.76,23.41,61.07,49.09,59.7,79.41,14.66,8.56,55.51,45.74,90,79.19,40.71,30.65,38.03,55.63,11.75,5.88,58.09,1.67,45.3,44.2,20,30.06,35.51,55,7.24,8.14,0.11,8.97,0.63,14.8,6.9,8.11,16.37,19.38,14.15
Solan,Himachal Pradesh,83.68,924,76.98,67.23,60.46,39.21,59.55,72.62,72.81,71.79,39.75,45.03,63.28,55,19.29,60.71,46.64,50.89,39.71,51.78,60.31,2162,59.51,32.19,36.38,73.88,21.86,12.63,8.73,17.73,38.34,50.75,38.58,65.22,51,50.72,7.6,47.95,48.08,43.58,71.7,23.56,21.97,11.87,61.19,32.39,11.7,47.83,2.69,51.13,72.29,52.34,61.27,62.62,55,8.19,4.22,9.4,8.23,11.82,0,11.64,24.87,15.32,14.24,7.07
